card_name,description
Сила,"Год, в котором ты можешь многое “вытащить”. Сила — это не про грубость, а про устойчивость: делать своё, не срываться, не сдаваться, не распадаться от провокаций. Задач может стать больше, чем обычно, и в этом твой рост: ты поймёшь, насколько способен. Но важно помнить: сила требует восстановления. Если ты всё время давишь на газ, ресурс заканчивается. Также возможны ситуации, где тебя будут выводить на эмоции — это проверка на контроль.
Небольшие подсказки:
•	Отдых — не награда, а часть стратегии. Планируй его заранее.
•	Не реагируй моментально на провокации: пауза спасает.
•	Если идея нравится — действуй, даже если не все поддержат."
Повешенный,"Год “переворота картинки”. То, что раньше работало, может внезапно перестать, и сначала это раздражает. Но смысл в другом: жизнь просит новый взгляд и другие решения. Возможны задержки, ожидание, ощущение “застряло” — и здесь выигрывает тот, кто умеет терпеть и не уходить в жертвенность. Хорошо идут темы помощи, поддержки, добрых поступков: они неожиданно возвращаются сильным плюсом. В итоге год даёт ценное: обновление мышления и выход из старых тупиков.
Небольшие подсказки:
•	Если всё тормозит — спроси себя: “А что я делаю по-старому?” и поменяй подход.
•	Не уходи в “я жертва”: лучше маленькие шаги и терпение.
•	Помогай там, где действительно нуждается: это усилит твою линию удачи."
Смерть,"Год обновления. Что-то уходит — привычки, отношения, роли, устаревшие планы — чтобы освободить место новому. Главное правило: не держаться за старое из страха. Если ты принимаешь изменения, год становится освобождающим, даже лёгким. Очень хорошо идут расхламление, смена режима, обновление внешности, пересборка ежедневной рутины. Ты можешь почувствовать, что “я больше так не хочу”, и это станет точкой роста.
Небольшие подсказки:
•	Отпускай то, что уже не твоё, даже если “жалко”.
•	Сделай уборку в делах и вещах — это удивительно быстро меняет состояние.
•	Думай так: “Я закрываю дверь, чтобы открыть другую”."
Умеренность,"Год спокойной силы и укрепления. Он не про резкие рывки, а про постепенное улучшение: ты выстраиваешь комфортный режим, проверяешь, что тебе подходит, а что — нет. Возможны проверки людьми и обстоятельствами: тебя могут склонять “подстроиться”, но важно держать свой темп и свою правду. Окружение становится особенно важным: в какой среде ты живёшь — так ты и чувствуешь себя внутри. Этот год помогает вылечить перегибы и настроить жизнь так, чтобы она работала на тебя.
Небольшие подсказки:
•	Делай ставку на стабильность, а не на геройство.
•	Убирай лишних людей/привычки/дела — и станет легче.
•	Настрой день под себя: питание, сон, работа, отдых — по твоему ритму."
Дьявол,"Год ярких желаний и сильных эмоций. Может тянуть в крайности: то “хочу всё”, то “не хочу ничего”, то вдохновение, то злость. В плюс — мощная энергия, харизма, способность видеть слабые места и исправлять их. В минус — зависимости, иллюзии, самообман. Этот год просит честности: с собой и с людьми. Если ты признаёшь свои “темные” стороны (ревность, контроль, лень, страх), они перестают управлять тобой и превращаются в ресурс.
Небольшие подсказки:
•	  Отследи, что тебя сильнее всего цепляет (люди, деньги, контроль, удовольствие) — и заранее реши, где у тебя «стоп», а где «можно».
•	  Переводи сильные эмоции в пользу: спорт, уборка, работа, разговор по делу — любое действие, которое даёт результат, а не выжигает.

"
Башня,"Год уборки без компромиссов. Башня приходит, когда внутри уже давно есть ощущение “что-то не так”. И в этом году ты не просто наблюдаешь, ты начинаешь разбирать старые конструкции: токсичные связи, нерабочие проекты, привычки, которые мешают. Это может быть резковато, но освобождающе. Важно: Башня — не про разрушение ради разрушения, а про честную пересборку. И да, этот год отлично подходит для перезапуска: то, что раньше не получилось, можно сделать заново и лучше.
Небольшие подсказки:
•	Не держи то, что уже изжило себя. Закрывай вовремя.
•	Учись адаптироваться: планы могут меняться, и это не провал.
•	Делай перезапуск: исправь старое вместо того, чтобы всё бросить."
Звезда,"Год вдохновения и раскрытия уникальности. Тебя тянет творить, показывать себя, делать красиво, смело, по-своему. Очень хорошо идут проекты, где важны стиль, идея, эстетика, публичность, личный бренд. Это год “увеличить масштаб”: не прятаться, не занижать себя, не говорить “кому это надо”. Чем больше ты веришь в то, что делаешь, тем ярче отклик. Иногда будет страх “а вдруг не поддержат” — но Звезда как раз про то, чтобы светить всё равно.
Небольшие подсказки:
•	Регулярно показывай результат — даже маленький.
•	Делай акцент на свою изюминку: в этом твоя сила.
•	Не бойся больших желаний: год любит масштаб."
Луна,"Год тонких состояний: интуиция работает сильно, но и туман может появляться часто. Запутанные ситуации, скрытые мотивы, недосказанности — и ты оказываешься тем, кто всё распутывает. Главное правило: не уходить в пассивность. На Луне очень легко “повиснуть” в мечтах, прокрастинации и иллюзиях. Но если ты держишь связь с реальностью, год становится глубоким и мудрым: ты лучше понимаешь себя, людей и свои истинные желания.
Небольшие подсказки:
•	  Слушай внутренний сигнал “да/нет” — он в этом году точнее обычного.
•	  Но не принимай решений в тумане: сначала успокоиться, потом выбирать.
•	  Если ситуация мутная — сделай паузу и собери информацию, прежде чем ввязываться."
Солнце,"Год радости, заметности и тёплой удачи. Больше эмоций, больше событий, больше людей. Может усилиться денежная линия: крупные покупки, приятные траты, рост дохода — если не терять голову. Солнце часто приносит признание и ощущение “я могу”. Но есть риск переоценки сил: взять слишком много, пообещать лишнее, перегореть. В этом году ты можешь стать “солнцем” для других — человеком, который вдохновляет и поддерживает. И это тоже возвращается бонусами.
Небольшие подсказки:
•	Следи за самооценкой: не качай её “то я лучший, то я никто”.
•	Не бойся показывать себя.
•	Делись теплом — добро в этом году возвращается быстро."
Суд,"Год переосмысления и взросления. Возвращаются темы и люди, которые казались закрытыми — чтобы ты решил, что с этим делать: продолжить или отпустить окончательно. Может быть много мыслей о предназначении, правильном пути, “что я строю и зачем”. Семья и поддержка рода становятся важнее, даже если это выражается не словами, а действиями. Суд — про честный разговор с собой и выбор зрелой позиции. Не жёсткой, а ясной: “вот мои правила, вот мои границы, вот мой путь”.
Небольшие подсказки:
•	Закрой один “хвост” прошлого — и почувствуешь скачок вперёд.
•	Прислушивайся к близким, но не отдавай им руль от своей жизни.
•	Чётко обозначай границы: спокойная твёрдость лучше споров."
Мир,"Год расширения: новые горизонты, путешествия, выход на новый уровень, ощущение “я на своём месте”. Мир любит, когда ты не уменьшаешь себя. Все внутренние установки становятся сильнее: если ты постоянно думаешь “мне не по силам”, жизнь подтвердит; если думаешь “я справлюсь”, появятся ресурсы. Хороший год для примирений, восстановления связей и завершения важных циклов. Также он даёт красивый вопрос: “Если бы я мог получить всё, что хочу — чего бы я хотел?” И вот этот ответ может стать главным направлением года.
Небольшие подсказки:
•	Расширяй себя: новые места, новые навыки, новые люди.

Чаще спрашивай: “Что меня ограничивает?” и убирай один ограничитель за раз."
Шут,"Год свежего воздуха. Он про новые начинания, неожиданные идеи, легкость и смелость пробовать. Могут появиться интересные авантюры, новые знакомства, повороты, которые ты не планировал. Шут приносит ощущение “а почему бы и нет?” — и иногда именно это открывает правильные двери. Риск в том, что хочется начать всё сразу и ничего не закончить. Поэтому лучше сохранить игривость, но добавить простую опору: сроки, план, маленькие обязательства перед собой. Тогда год будет очень живым и удачным.
Небольшие подсказки:
•	Начинай новое смело, но фиксируй рамки: “что, когда и зачем”.
•	Не бойся выглядеть эпатажно: этот год поощряет индивидуальность.

"
